"REGIAO","ANO","INDICADOR_329"
"Brejo Paraibano",2018,NA
"Cajazeiras",2018,NA
"Campina Grande",2018,NA
"Cariri Ocidental",2018,NA
"Cariri Oriental",2018,NA
"Catolé do Rocha",2018,NA
"Curimataú Ocidental",2018,NA
"Curimataú Oriental",2018,NA
"Esperança",2018,NA
"Guarabira",2018,NA
"Itabaiana",2018,NA
"Itaporanga",2018,NA
"João Pessoa",2018,NA
"Litoral Norte",2018,NA
"Litoral Sul",2018,NA
"Patos",2018,NA
"Piancó",2018,NA
"Sapé",2018,NA
"Seridó Ocidental Paraibano",2018,NA
"Seridó Oriental Paraibano",2018,NA
"Serra do Teixeira",2018,NA
"Sousa",2018,NA
"Umbuzeiro",2018,NA
"Agreste Paraibano",2018,NA
"Borborema",2018,NA
"Mata Paraibana",2018,NA
"Sertão Paraibano",2018,NA
"Paraíba",2018,NA
